Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Greg Monroe,DET,69.0,57.0,31.0,0.496,0.0,0.496,0.496,0.75,10.2,2.1,1.1,0.5,15.9,21.2,0.549,25.1,17.9,11.7,1.9,1.3,23.9,4.0,2.8,2.0,2.1,6.8,0.153,0.0,.390,12,2015
Greg Smith,DAL,42.0,2.0,8.6,0.612,0.0,0.612,0.612,0.513,1.9,0.2,0.2,0.3,1.9,10.2,0.605,16.1,11.9,3.4,1.0,2.5,9.5,0.5,0.3,-2.6,-0.1,0.8,0.108,0.0,.610,7,2015
Greg Stiemsma,TOR,17.0,0.0,3.9,0.75,0.0,0.75,0.75,0.5,0.9,0.2,0.1,0.0,0.8,7.8,0.717,10.5,13.1,6.6,1.6,0.0,11.5,0.0,0.0,-6.0,-0.1,0.1,0.05,0.0,.598,4,2015
Greivis Vásquez,TOR,82.0,29.0,24.3,0.408,0.379,0.436,0.5,0.758,2.6,3.7,0.6,0.1,9.5,12.6,0.514,11.2,6.3,23.9,1.2,0.4,19.8,1.9,0.9,-1.0,0.5,2.8,0.066,0.0,.598,4,2015
Harrison Barnes,GSW,82.0,82.0,28.3,0.482,0.405,0.519,0.548,0.72,5.5,1.4,0.7,0.2,10.1,13.4,0.573,15.1,10.5,6.9,1.3,0.6,14.9,3.7,3.0,0.1,1.2,6.7,0.139,0.0,.817,1,2015
Hassan Whiteside,MIA,48.0,32.0,23.8,0.628,0.0,0.628,0.628,0.5,10.0,0.1,0.6,2.6,11.8,26.2,0.619,34.7,25.4,1.0,1.2,9.2,21.1,2.8,2.4,4.1,1.8,5.3,0.221,0.0,.451,10,2015
Hedo Türkoğlu,LAC,62.0,2.0,11.4,0.441,0.432,0.469,0.601,0.545,1.6,0.6,0.3,0.1,3.7,10.5,0.602,14.7,7.9,7.5,1.4,0.8,14.2,0.6,0.6,-0.2,0.3,1.2,0.081,0.0,.683,2,2015
Henry Sims,PHI,73.0,32.0,19.2,0.474,0.182,0.488,0.478,0.774,4.9,1.1,0.5,0.4,8.0,14.5,0.521,19.4,13.9,10.7,1.4,1.7,20.6,0.5,1.5,-2.8,-0.3,2.1,0.072,0.0,.220,14,2015
Henry Walker,MIA,24.0,13.0,26.2,0.345,0.341,0.361,0.479,0.778,3.4,1.2,1.0,0.4,7.3,8.0,0.497,14.0,7.8,7.2,2.0,1.2,15.0,-0.1,0.6,-2.0,0.0,0.5,0.039,0.0,.451,10,2015
Hollis Thompson,PHI,71.0,23.0,25.0,0.413,0.401,0.426,0.518,0.708,2.8,1.2,0.8,0.4,8.8,10.9,0.538,9.3,6.0,8.4,1.6,1.2,15.9,1.3,1.3,-1.8,0.1,2.6,0.07,0.0,.220,14,2015
Ian Clark,UTA,30.0,0.0,6.4,0.345,0.333,0.36,0.436,1.0,0.5,0.4,0.3,0.1,1.9,8.8,0.483,7.1,4.8,9.7,2.4,1.2,16.0,0.0,0.2,-3.0,0.0,0.2,0.05,0.0,.463,11,2015
Ian Mahinmi,IND,61.0,6.0,18.8,0.552,0.0,0.552,0.552,0.304,5.8,0.5,0.5,0.8,4.3,10.8,0.516,24.0,17.2,4.4,1.3,3.1,12.5,0.1,2.0,-2.5,-0.1,2.1,0.09,0.0,.463,9,2015
Iman Shumpert,NYK,62.0,25.0,24.9,0.41,0.342,0.458,0.481,0.672,3.6,2.2,1.3,0.3,8.0,11.4,0.497,12.6,8.3,14.2,2.7,0.8,17.4,0.1,1.4,-0.9,0.4,1.5,0.047,0.0,.207,15,2015
Isaiah Canaan,PHI,47.0,21.0,20.0,0.386,0.37,0.417,0.507,0.817,1.9,2.1,0.6,0.1,9.2,12.4,0.534,8.3,5.1,18.7,1.5,0.3,21.6,0.8,0.7,-0.8,0.3,1.4,0.072,0.0,.220,14,2015
Isaiah Thomas,PHO,67.0,1.0,25.8,0.42,0.373,0.457,0.501,0.868,2.3,4.2,0.9,0.1,16.4,20.6,0.579,7.7,4.9,27.2,1.6,0.2,27.8,5.0,1.1,3.2,2.3,6.1,0.169,0.0,.476,10,2015
Ish Smith,PHI,55.0,14.0,15.1,0.39,0.3,0.407,0.414,0.596,1.8,3.3,0.7,0.1,6.1,12.3,0.431,11.4,6.5,40.7,2.2,0.6,24.6,-0.9,0.8,-2.5,-0.1,-0.1,-0.006,0.0,.220,14,2015
J.J. Barea,DAL,77.0,10.0,17.7,0.42,0.323,0.463,0.47,0.809,1.7,3.4,0.4,0.0,7.5,15.1,0.502,9.0,5.4,29.5,1.2,0.1,21.2,2.1,0.6,-0.3,0.6,2.7,0.096,0.0,.610,7,2015
J.J. Hickson,DEN,73.0,8.0,19.3,0.475,0.0,0.477,0.475,0.577,6.2,0.8,0.5,0.5,7.6,14.3,0.504,24.0,17.3,6.5,1.3,1.9,19.7,0.5,1.4,-2.7,-0.2,1.8,0.062,0.0,.366,12,2015
J.R. Smith,NYK,70.0,51.0,29.7,0.417,0.383,0.462,0.525,0.75,3.1,2.8,1.2,0.3,12.1,13.6,0.538,10.4,6.0,15.6,2.1,0.8,19.3,2.2,1.5,0.7,1.5,3.7,0.085,0.0,.207,15,2015
JJ Redick,LAC,78.0,78.0,30.9,0.477,0.437,0.515,0.583,0.901,2.1,1.8,0.5,0.1,16.4,16.2,0.622,6.6,3.9,9.0,0.8,0.3,21.0,5.8,0.9,1.3,2.0,6.7,0.134,0.0,.683,2,2015
JaKarr Sampson,PHI,74.0,32.0,15.3,0.422,0.244,0.525,0.467,0.67,2.2,1.0,0.5,0.4,5.2,9.4,0.498,12.9,7.8,12.0,1.7,1.9,17.9,-0.5,1.1,-4.2,-0.6,0.6,0.025,0.0,.220,14,2015
JaMychal Green,SAS,24.0,1.0,6.8,0.574,0.0,0.659,0.574,0.8,1.9,0.2,0.2,0.2,2.6,14.9,0.603,18.0,15.7,4.0,1.6,2.4,18.3,0.1,0.3,-1.3,0.0,0.4,0.119,0.0,.671,5,2015
JaVale McGee,PHI,23.0,0.0,11.1,0.532,0.0,0.532,0.532,0.667,2.7,0.1,0.1,0.9,4.6,14.4,0.567,18.9,12.9,2.0,0.4,6.1,18.9,0.1,0.3,-2.8,-0.1,0.4,0.071,0.0,.220,14,2015
Jabari Brown,LAL,19.0,5.0,29.9,0.412,0.371,0.435,0.479,0.753,1.9,2.1,0.6,0.1,11.9,11.0,0.547,6.7,3.5,11.0,1.1,0.3,18.8,0.4,0.0,-4.3,-0.3,0.4,0.033,0.0,.256,14,2015
Jabari Parker,MIL,25.0,25.0,29.5,0.49,0.25,0.506,0.498,0.697,5.5,1.7,1.2,0.2,12.3,14.5,0.527,13.5,10.7,9.5,2.1,0.6,20.7,0.4,1.0,-0.5,0.3,1.3,0.088,0.0,.500,6,2015
Jack Cooley,UTA,16.0,0.0,5.4,0.409,0.0,0.409,0.409,0.429,1.6,0.1,0.4,0.2,1.7,11.4,0.432,19.8,16.6,1.8,3.7,2.8,18.0,0.0,0.2,-5.7,-0.1,0.2,0.092,0.0,.463,11,2015
Jae Crowder,DAL,82.0,17.0,20.1,0.42,0.293,0.499,0.476,0.773,3.6,1.1,0.9,0.3,7.7,13.9,0.517,14.9,9.7,8.6,2.2,1.2,17.5,1.9,2.0,0.5,1.0,3.9,0.113,0.0,.610,7,2015
Jamaal Franklin,DEN,3.0,0.0,4.3,0.5,0.5,0.0,0.75,0.0,0.7,1.0,0.0,0.3,1.0,4.9,0.75,8.6,8.3,32.8,0.0,6.0,16.6,0.0,0.0,-5.6,0.0,0.0,-0.063,0.0,.366,12,2015
Jamal Crawford,LAC,64.0,4.0,26.6,0.396,0.327,0.448,0.467,0.901,1.9,2.5,0.9,0.2,15.8,16.6,0.532,6.9,4.1,14.9,1.8,0.7,27.6,2.5,1.2,0.7,1.2,3.6,0.102,0.0,.683,2,2015
Jameer Nelson,DEN,63.0,29.0,22.3,0.407,0.345,0.472,0.495,0.667,2.3,4.0,0.7,0.1,8.3,12.1,0.503,8.9,5.7,27.8,1.7,0.3,19.5,0.6,0.8,-1.0,0.4,1.4,0.047,0.0,.366,12,2015
James Ennis III,MIA,62.0,3.0,17.0,0.409,0.326,0.461,0.472,0.84,2.8,0.8,0.4,0.3,5.0,11.5,0.541,14.0,10.1,7.2,1.3,1.4,14.6,1.2,0.8,-1.5,0.1,1.9,0.088,0.0,.451,10,2015
James Harden,HOU,81.0,81.0,36.8,0.44,0.375,0.48,0.511,0.868,5.7,7.0,1.9,0.7,27.4,26.7,0.605,14.2,8.5,34.6,2.6,1.6,31.3,12.2,4.2,8.8,8.1,16.4,0.265,0.72,.683,3,2015
James Johnson,TOR,70.0,17.0,19.6,0.589,0.216,0.643,0.603,0.657,3.7,1.4,0.8,1.0,7.9,17.9,0.617,16.5,10.8,11.4,2.0,4.1,17.4,2.5,1.6,2.4,1.5,4.1,0.143,0.0,.598,4,2015
James Jones,CLE,57.0,2.0,11.7,0.368,0.36,0.423,0.525,0.848,1.1,0.4,0.2,0.1,4.4,11.1,0.565,9.0,5.3,5.4,1.0,0.9,15.8,1.2,0.4,-0.7,0.2,1.5,0.11,0.0,.646,2,2015
James Michael McAdoo,GSW,15.0,0.0,9.1,0.545,0.0,0.545,0.545,0.56,2.5,0.1,0.3,0.6,4.1,17.7,0.564,16.8,14.6,2.1,1.8,4.9,19.4,0.2,0.3,-2.3,0.0,0.5,0.177,0.0,.817,1,2015
James Young,BOS,31.0,0.0,10.7,0.353,0.258,0.528,0.436,0.552,1.4,0.4,0.3,0.1,3.4,8.5,0.457,11.0,6.9,5.6,1.2,0.5,15.8,0.1,0.3,-3.4,-0.1,0.3,0.047,0.0,.488,7,2015
Jannero Pargo,CHO,9.0,0.0,8.1,0.429,0.409,0.462,0.557,1.0,0.3,0.9,0.0,0.0,4.6,14.9,0.571,4.6,2.3,20.8,0.0,0.0,24.3,0.1,0.0,1.8,0.1,0.2,0.113,0.0,.402,11,2015
Jared Cunningham,LAC,19.0,0.0,4.7,0.364,0.308,0.4,0.424,0.538,0.5,0.5,0.2,0.0,1.8,7.3,0.452,9.9,5.7,16.4,1.7,0.0,23.2,-0.1,0.1,-8.1,-0.1,0.0,-0.023,0.0,.683,2,2015
Jared Dudley,MIL,72.0,22.0,23.8,0.468,0.385,0.537,0.556,0.716,3.1,1.8,1.0,0.2,7.2,12.3,0.572,11.6,7.3,11.5,2.1,0.5,13.5,2.0,2.1,0.6,1.1,4.1,0.116,0.0,.500,6,2015
Jared Sullinger,BOS,58.0,49.0,27.0,0.439,0.283,0.494,0.476,0.744,7.6,2.3,0.8,0.7,13.3,17.9,0.503,20.9,15.4,14.2,1.4,2.1,23.6,1.9,2.1,1.1,1.2,4.0,0.123,0.0,.488,7,2015
Jarnell Stokes,MEM,19.0,2.0,6.6,0.568,0.0,0.568,0.568,0.536,1.8,0.2,0.3,0.3,3.0,18.6,0.578,16.3,15.4,5.2,2.1,3.3,20.5,0.3,0.2,-1.1,0.0,0.5,0.186,0.0,.671,4,2015
Jarrett Jack,BRK,80.0,27.0,28.0,0.439,0.267,0.477,0.463,0.881,3.1,4.7,0.9,0.2,12.0,14.6,0.522,11.3,6.1,27.3,1.7,0.5,22.6,1.1,1.4,-1.1,0.5,2.6,0.055,0.0,.463,8,2015
Jason Maxiell,CHO,61.0,0.0,14.4,0.422,0.0,0.422,0.422,0.577,3.3,0.3,0.3,0.7,3.3,10.4,0.455,15.1,12.7,3.4,1.1,4.0,13.1,0.1,1.2,-3.2,-0.3,1.4,0.074,0.0,.402,11,2015
Jason Richardson,PHI,19.0,15.0,21.9,0.348,0.323,0.378,0.435,0.773,3.5,2.0,0.7,0.2,9.1,11.7,0.458,14.5,8.6,16.6,1.6,0.6,21.3,0.0,0.4,-1.3,0.1,0.4,0.045,0.0,.220,14,2015
Jason Smith,NYK,82.0,31.0,21.8,0.434,0.357,0.44,0.447,0.83,4.0,1.7,0.4,0.5,8.0,12.0,0.497,15.0,10.5,13.5,0.9,2.1,19.7,0.5,0.7,-3.8,-0.8,1.2,0.032,0.0,.207,15,2015
Jason Terry,HOU,77.0,18.0,21.3,0.422,0.39,0.504,0.563,0.813,1.6,1.9,0.9,0.2,7.0,11.4,0.579,7.1,4.1,13.8,2.0,0.9,14.3,2.0,1.5,0.5,1.0,3.6,0.104,0.0,.683,3,2015
Jason Thompson,SAC,81.0,63.0,24.6,0.47,0.0,0.471,0.47,0.622,6.5,1.0,0.4,0.7,6.1,10.2,0.5,21.5,15.1,6.5,0.8,2.3,12.7,0.9,1.5,-2.8,-0.4,2.4,0.057,0.0,.354,13,2015
Jeff Adrien,MIN,17.0,0.0,12.6,0.432,0.0,0.432,0.432,0.579,4.5,0.9,0.2,0.5,3.5,14.2,0.494,29.6,20.5,10.5,0.9,3.3,14.3,0.2,0.2,-2.4,0.0,0.4,0.087,0.0,.195,15,2015
Jeff Ayres,SAS,51.0,0.0,7.5,0.579,0.0,0.579,0.579,0.75,2.3,0.3,0.2,0.2,2.7,14.4,0.618,23.3,17.3,5.5,1.1,1.6,16.3,0.6,0.6,-2.2,0.0,1.2,0.147,0.0,.671,5,2015
Jeff Green,MEM,78.0,70.0,31.5,0.43,0.332,0.473,0.48,0.833,4.2,1.7,0.7,0.4,15.0,14.4,0.534,12.1,7.5,8.8,1.1,1.1,21.9,2.7,2.4,-0.2,1.2,5.2,0.101,0.0,.671,4,2015
Jeff Taylor,CHO,29.0,13.0,14.8,0.395,0.306,0.436,0.443,0.634,1.8,0.8,0.4,0.0,4.4,8.2,0.481,10.3,6.8,8.2,1.4,0.2,16.0,-0.1,0.4,-4.9,-0.3,0.3,0.034,0.0,.402,11,2015
Jeff Teague,ATL,73.0,72.0,30.5,0.46,0.343,0.496,0.5,0.862,2.5,7.0,1.7,0.4,15.9,20.6,0.566,7.7,4.7,37.9,2.9,1.2,25.3,5.0,2.8,2.9,2.8,7.7,0.166,0.0,.732,1,2015
Jeff Withey,NOP,37.0,0.0,7.0,0.5,0.0,0.5,0.5,0.68,1.7,0.3,0.1,0.5,2.6,17.6,0.57,17.9,14.0,6.4,0.8,5.3,17.3,0.5,0.3,-0.5,0.1,0.8,0.149,0.0,.549,9,2015
Jerami Grant,PHI,65.0,11.0,21.2,0.352,0.314,0.383,0.422,0.591,3.0,1.2,0.6,1.0,6.3,8.7,0.47,12.3,7.8,9.4,1.5,4.0,16.5,-0.9,1.4,-3.3,-0.5,0.5,0.019,0.0,.220,14,2015
